Name;Schreckliche Eigenschaften;Kaputte Körper;Schlechte Angewohnheiten;Beunruhigende Geschichten;Art des Todes;Offene Schuld
Jotna;Schelmisch;Adern, die sich wölben und pulsieren, als wäre dein Blut Haferschleim.;Du hast das Gefühl, dass ungesagte Wahrheiten dich körperlich belasten. Du wirkst zunehmend erschöpft, je mehr du weißt.;Du bist von einem Geist besessen, der von den Schimmernden Feldern plappert. Begehrt von den Basilisken.;Aus einem Fenster gejagt von Porzellanpuppen, die du jahrelang gestohlen hast.;Du hast einen Ort des Trostes (Hospiz, Tempel, Schenke) verraten, damit Feinde ihn finden.
Urvarg;Grimmig;Eine beeindruckende Menge an Haaren.;Du vertraust ausschließlich Menschen, die dir einmal offen ins Gesicht gelogen haben.;Du bist verflucht, dich in Statuen zu verlieben, egal wie grotesk oder seltsam sie sind.;Verhungert, weil du einem verfluchten Löffel geglaubt hast, der „ewige Sättigung“ versprach.;Du hast bei einem Unfall nicht geholfen, sondern erst mal nach Wertgegenständen gesucht.
Karg;Rituell;Schorfige Hautschuppen, die überall verteilt werden.;Du misstraust jedem, der dir zustimmt. Widerspruch interpretierst du als Zeichen von Ehrlichkeit.;Du bist davon überzeugt, dass du hörst, wie jemand aus dem Jenseits in abscheulichen Sprüchen zu ihnen spricht.;Gestorben, als du versuchtest, eine arkane Katastrophe „auszuprobieren, nur einmal“.;Du hast ein lebendes Wesen in ein Objekt gebannt – und dann vergessen, welches.
Vagal;Brutal;Ständig tropfende Nase. ;Du glaubst, dass alle anderen im Raum bereits eine Abmachung gegen dich getroffen haben.;Du trägst eine sich straffende Krone aus steinernen Dornen. Jeden Tag besteht eine 5 %ige Chance, dass sie so fest wird, dass sie den Schädel zerbricht.;Vom Leviathan verschluckt und nach Tagen wieder ausgespuckt, da warst du schon tot.;Du hast eine ganze Gemeinschaft in den Selbstmordkult geführt, obwohl du selbst nie daran glaubtest.
Karva;Unberechenbar;Fehlender Bauchnabel.;Du glaubst bedingungslos dem Letzten, das dir gesagt wurde. Immer.;Du wirst von einem grün gefärbten Stern über dir am Himmel verfolgt. Jede Nacht wird er größer.;Zerrissen von einer Menge Untoter, die du selbst durch Unachtsamkeit geweckt hast.;Du hast die Albträume anderer mit einem Ritual absichtlich verstärkt, um sie gefügig zu machen.
Vatan;Naiv;Knollige Wucherung am Hals. Sie bewegt sich, wenn niemand sie ansieht.;Du bist fest überzeugt, dass du bereits tot bist und das hier nur eine Prüfung ist. Du verhältst dich entsprechend entspannt.;Du hast eine Reihe von Morden in Galgenbeck begangen, gerechtfertigt oder nicht. Du vergräbst ein Messer in jeder Abenddämmerung.;Einfach im Bett eingeschlafen und nicht mehr aufgewacht – was in dieser Welt eindeutig verdächtig ist.;Du hast dem Kalender von Nechrubel einmal absichtlich eine Seite übersprungen, um das Ende zu beschleunigen.
Katla;Vorurteilsbehaftet;Spröde und rissige Lippen.;Du bittest jeden, der dir begegnet, um eine letzte Beichte — für alle Fälle.;Dich verzehrt der Hass auf das Feuer. Du trägst drei Wasserhäute. Du weinst beim Anblick von Flammen.;;
Von;Vulgär;Schmerzhafter Durchschnittsmensch.;Du redest mit dem Jenseits wie mit einem bürokratischen Amt. Du beschwerst dich regelmäßig über die Wartezeiten.;Du hörst seltsame und schöne Musik aus Gruben. Du bist gezwungen zu folgen.;;
Keftar;Schlampig;Gesicht bedeckt mit Eiterbeulen.;Du glaubst, dass du schon einmal hier warst. Du erinnerst dich an falsche Details mit erschreckender Überzeugung.;Als du einen schrecklichen Geist gesehen hast, wurden alle deine Haare weiß.;;
Vrakh;Impulsiv;Kleinwüchsig.;Du bist der Meinung, dass dein Tod ein Verwaltungsfehler war — und verlangst eine Korrektur.;Als Kind hast du einen seltsamen Pilz gegessen, der auf einem anderen Pilz wuchs. Du warst nie wieder derselbe.;;
Klort;Berechnend;Knochen, die bei jeder Bewegung knacken.;Du behandelst alle anderen Seelen als ob sie noch nicht wüssten, dass sie tot sind. Du schonst sie.;Als Kind hast du Geister gesehen und mit ihnen gesprochen. Sie sprechen nicht mehr mit dir.;;
Vresi;Pedantisch;Größer als die meisten.;Du nimmst das Jenseits persönlich. Was immer hier entschieden wird, es richtet sich gegen dich. Das ist sicher.;Als Kind wurdest du von Sklavenhändlern gefangen genommen und in den Kampfarenen großgezogen.;;
Kratar;Leichtgläubig;Gebrochene Nase, für immer krumm.;Alles was du sagst klingt nach einem Abschied.;Beim Fällen eines alten Baumes hast du die Leiche eines Zauberers gefunden.;;
Wemut;Anspruchsvoll;Der Bauch erzählt Geschichten von zu vielen Bieren.;Du nickst bei allem so überzeugend, dass andere annehmen, du hast zugestimmt.;Deine Eltern haben dich Fünfzehn genannt. Sie haben sich nie die Mühe gemacht, dir einen richtigen Namen zu geben.;;
Aelthar;Weinerlich;Völlig und vollkommen haarlos.;Du kannst keine Frage unbeantwortet lassen — auch wenn die ehrliche Antwort dich belastet.;Du lebst von einem Goldvorrat, den du gefunden hast. Jemand wird bestimmt danach suchen.;;
Arvün;Undankbar;Gespaltene Zunge.;Du hörst zu wie ein Verhörbeamter. Stille, Augenkontakt, keine Reaktion. Es macht die meisten nervös.;Du trägst das Zeichen von Goonfun, dem Retter.;;
Brakt;Egozentrisch;Augenlider mit Kohle bemalt, immer.;Du entschuldigst dich ständig — für Dinge, die du nicht getan hast. Noch nicht.;Du warst ein Handelsmatrose, bis du gefangen genommen und gezwungen wurdest, als Pirat zu arbeiten.;;
Brumn;Oberflächlich;Hässliche Narbe, wo früher die Lunge war.;Du erinnerst dich an die Schuld anderer mit perfekter Genauigkeit. An deine eigene kaum.;Ein ausländischer Würdenträger wurde vergiftet. Du warst der Koch.;;
Dagrul;Furchtlos;Geboren mit sechs Fingern an jeder Hand.;Du glaubst aufrichtig, dass alle hier aus denselben Gründen sind wie du. Das stimmt nie.;Ein großer Musiker hat einmal dein Dorf besucht und dir ein Lied beigebracht, das alle Zuhörer begeistert.;;
Darvek;Intrigant;Kleine Augen, die jeden misstrauisch machen.;Wenn du etwas Falsches getan hast, redest du so lange darum herum, bis jemand anderes sich entschuldigt.;Ein Straßenräuber hat dich gezwungen, eine Münze zu werfen, um dein Leben oder das deines Bruders zu gewinnen. Die Münze landete auf der Seite und verschonte euch beide.;;
Drösk;Nörgelnd;Haare grob wie Borsten.;;Ein verrückter Angelunfall hat dich deine Hand gekostet. Aber dieser Haken funktioniert ziemlich gut.;;
Dvorn;Schicksalsergeben;Schlechter Rücken und schlechte Körperhaltung.;;Ein verrückter Kanuunfall hat dich dein Bein gekostet. Aber du hast dich an den Ruderstumpf gewöhnt.;;
Elbrü;Sprunghaft;Du glaubst du entwickelst Kiemen und musst zu einem Wasserbewohner werden.;;Mit dem Blut deiner ersten Tötung noch an deinen Händen, wurde dir deine wahre Bestimmung klar.;;
Fargha;Kalt;Deine linke und rechte Hand sind vertauscht.;;Nachdem du deinen Ehering wegen einer Spielschuld verloren hattest, hat dich die Liebe deines Lebens verlassen.;;
Fetmal;Abergläubisch;Ein dunkler Nebel umgibt deinen Kopf.;;Vor langer Zeit hast du eine Rieseneule aus einer Schlingenfalle gerettet. Sie kommt immer noch gelegentlich zurück, um dir zu helfen.;;
Florn;Schnippisch;Eine dicke, stinkende Flüssigkeit tritt aus deinem Mund aus, sobald du sprichst.;;Du kannst Lügen schmecken. Seit du das weißt, kannst du fast niemanden mehr ansehen.;;
Garvek;Öde;Dir wächst ein zusätzliches Bein.;;Du hast einmal in einem Traum einen Ort gesehen, den es eigentlich nicht gibt. Seitdem versuchst du, ihn zu finden. Du bist dir nicht mehr sicher, ob das eine gute Idee ist.;;
Glötna;Unruhig;Fünf Zoll lange Fingernägel. Sie wachsen einfach weiter.;;"Du wurdest von einem blinden Orakel in Grift berührt. Es sagte: „Du wirst die letzte Person sein, die stirbt."" Seitdem bist du dir nicht sicher, ob das gut oder schrecklich ist.";;
Gremul;Goldfieberisch;Schleimige Schuppen wachsen über deine Haut.;;Du kannst keine Musik mehr hören, ohne zu weinen. Du weißt nicht warum. Es passiert auch bei Vogelgesang. Und bei Windgeräuschen. Und beim Knarren von Holz.;;
Grutva;Ein Tyrann;;;Du vertraust Tieren mehr als Menschen. Das hat bisher meistens gut funktioniert. Meistens.;;
Halvorn;Beleidigend;;;Jeder, dem du sagst, dass du aus deiner Heimatstadt kommst, schaut dich seltsam an. Du hast inzwischen herausgefunden: Die Stadt existiert nicht mehr. Schon seit zwanzig Jahren nicht.;;
Hentrul;Barbarisch;;;Eine Inquisitorin der Basilisken hat dich dreimal verhört und dreimal freigelassen. Beim vierten Mal wird sie das nicht mehr tun.;;
Hlort;Klagend;;;Du schuldest der Einäugigen Diebesgildenchefin von Galgenbeck einen Gefallen. Sie hat noch nicht gesagt, welchen. Das ist das Schlimmste daran.;;
Hruveg;Kritisch;;;Die Ritter der Blutgräfin suchen dich – nicht wegen eines Verbrechens, sondern weil Anthelia träumt, dass du ihr etwas Wichtiges nehmen wirst.;;
Jalvik;Zerstörerisch;;;Ein Nekromant hat dich verflucht, stellvertretend für jemand anderen. Er hat die falsche Person erwischt. Er weiß es. Er sucht dich, um es zu korrigieren. Auf seine Art.;;
Jertha;Oberflächlich;;;Du hast einen Brief abgefangen, der nie für dich bestimmt war. Der Absender weiß, dass du ihn hast. Der Empfänger auch.;;
Kalthu;Unreif;;;Eine Sekte glaubt, dass du ihre Prophezeite bist. Du bist es nicht. Das macht es nicht besser.;;
Kelbrün;Wankelmütig;;;Du sammelst Zähne. Du weißt nicht warum. Du hörst nicht auf.;;
Klarveg;Zynisch;;;Ein kleines, schweigendes Kind folgt dir seit drei Wochen. Du kannst es nicht loswerden. Niemand sonst scheint es zu sehen.;;
Knutha;Nachsichtig;;;Du hast einmal in Sarkash eine Frucht gegessen, die es nicht geben sollte. Seitdem können Tiere deine Stimmung riechen. Sie meiden dich bei schlechter Laune.;;
Kvelm;Opportunistisch;;;Du hast einem sterbenden Wahrsager seine letzten Worte versprochen weiterzugeben. Du weißt nicht, an wen. Du weißt nicht, was sie bedeuten. Du kannst sie nicht vergessen.;;
Largun;Schwerfällig;;;"Ein Händler in Grift hat dir eine Kiste verkauft, ""für den richtigen Moment."" Sie ist verschlossen. Etwas darin atmet.";;
Leskri;Spießig;;;Du hast als Kind in Graven-Tosk gespielt und dabei aus Versehen ein Grab geöffnet. Etwas darin hat dein Gesicht gesehen. Es sucht dich.;;
Lortva;Machthungrig;;;Du hast in Galgenbeck eine Predigt gehalten, die alle Zuhörer zum Weinen brachte. Du weißt nicht mehr, was du gesagt hast. Alle, die es gehört haben, suchen dich.;;
Malturn;Übertrieben phantasievoll;;;Du warst Henker in Kergs, bis du begannst, die Hingerichteten im Traum zu sehen. Sie geben dir Ratschläge. Meistens schlechte.;;
Marveg;Scheinheilig;;;Du hast für König Fathmu XI. eine Karte zu einem verbotenen Ort gestohlen. Die Karte hat sich inzwischen selbst verändert. Sie zeigt jetzt deinen Standort.;;
Methrul;Angespannt;;;Du warst Mitglied einer Theatergruppe, bis alle anderen Mitglieder spurlos verschwanden. Die Kostüme blieben zurück. Sie bewegen sich nachts.;;
Mürga;Trendig;;;Du hast einen Priester der Basilisken beim Stehlen erwischt. Er weiß, dass du weißt. Du weißt, dass er dich sucht.;;
Narvek;Eifrig;;;Als Wachmann hast du aus Mitleid einen Gefangenen freigelassen. Der Gefangene hat dann etwas Schreckliches getan. Du wirst damit in Verbindung gebracht.;;
Nlthor;Zornig;;;Du hast für ein Jahr in den Minen unter Bergen Chrypt gearbeitet. Was du dort gesehen hast, darf niemand wissen. Du redest nicht darüber. Außer im Schlaf.;;
Nögrith;Ängstlich;;;Jedes Mal, wenn du lügst, wächst ein weiterer Finger an deiner linken Hand. Du trägst inzwischen einen sehr großen Handschuh.;;
Peltrum;Egoistisch;;;Du hast das Fleisch eines Zauberers gegessen, um zu überleben. Seitdem sprechen seine Gedanken in dir. Sie sind nicht freundlich.;;
Quarva;Steif;;;Deine Schatten bewegt sich nicht mehr synchron zu dir. Manchmal macht sie Dinge, die du gar nicht tust.;;
Raktul;Rückgratlos;;;Ein Chirurg in Schleswig hat versehentlich eine zweite Zunge in deinem Hals zurückgelassen. Sie spricht manchmal im Schlaf. In einer Sprache, die du nicht kennst.;;
Relvek;Zänkisch;;;Du stirbst jede Nacht kurz. Du wachst jeden Morgen auf. Seit einem Jahr fragst du dich, wann es aufhört.;;
Rötma;Leichtgläubig;;;Dein linkes Auge sieht die Welt, wie sie in zehn Jahren aussehen wird. Das rechte sieht sie jetzt. Die Diskrepanz macht dich krank.;;
Salbrun;Streitsüchtig;;;Du hast eine Wette mit einem Dämon verloren. Er hat dein Spiegelbild behalten. Du hast keines mehr.;;
Skortva;Offensichtlich;;;Eine Hexe hat dir dein Gewicht gestohlen. Du wiegst nichts. Starker Wind ist eine ernste Gefahr.;;
Skülm;;;;Du erbrichst jeden Vollmond kleine schwarze Steine. Sie sind warm. Sie hören auf zu zittern, wenn du sie weglässt.;;
Slarvek;;;;Deine Tränen sind Tinte. Du hast gelernt, damit zu schreiben. Die Texte sagen manchmal Dinge voraus.;;
Snötha;;;;;;
Talgrum;;;;;;
Tarkvül;;;;;;
Telthar;;;;;;
Trevga;;;;;;
Ulvarg;;;;;;
Ürtmal;;;;;;
Velnug;;;;;;
Vörthan;;;;;;
Walgru;;;;;;
Zaltrum;;;;;;
Gkrtvs;;;;;;
Blrntch;;;;;;
Vzkhrl;;;;;;
Ksthvr;;;;;;
Drfntg;;;;;;
Wstrpkl;;;;;;
Chtlvgr;;;;;;
Hkrvntz;;;;;;
Pzktrml;;;;;;
Nskrvth;;;;;;
Grktfnl;;;;;;
Vsknrpl;;;;;;
Brhntsk;;;;;;
Ztlvfgr;;;;;;
Mkrthnsk;;;;;;
Xvrkbltz;;;;;;
Dtshkrvn;;;;;;
Glpftchr;;;;;;
Nzkvrtsch;;;;;;
Rhlkvntm;;;;;;
Arveluthandroskva;;;;;;
Belkormundraveth;;;;;;
Grittnalverhuskodan;;;;;;
Tharuveldmostikan;;;;;;
Kvelanthorbarusch;;;;;;
Ulfvarendragathmul;;;;;;
Skelmorvathandriel;;;;;;
Darvunkelthosgrima;;;;;;
Vethkulandaromskel;;;;;;
Nortgavelthimbruvask;;;;;;
Hargulvendrathoskim;;;;;;
Albrimthorveldkanus;;;;;;
Quelvanthorskimdara;;;;;;
Jotnarvelgundramoth;;;;;;
Mürkelvandrathoskum;;;;;;
Falthundraveskimonar;;;;;;
Bröntharvelguskidam;;;;;;
Walgrimthovundreskal;;;;;;
Snörvandelthorbuskim;;;;;;
Prügelvandrathoskimun;;;;;;
Vael’drun’thask;;;;;;
Krul’veth’arn;;;;;;
Jor’khal’trüm;;;;;;
Brag’noth’vel;;;;;;
Thar’gul’venn;;;;;;
Skel’var’thun;;;;;;
Mur’dak’hel;;;;;;
Vrol’thag’rim;;;;;;
Kel’dras’vorn;;;;;;
Hruk’vel’dar;;;;;;
Zorn’gul’thesk;;;;;;
Narg’thrul’vask;;;;;;
Vel’drim’kor;;;;;;
Ulv’nash’gra;;;;;;
Krel’voth’nar;;;;;;
Drak’mur’thal;;;;;;
Gor’vel’kurn;;;;;;
Tal’grun’veth;;;;;;
Jar’thul’mek;;;;;;
Snar’vok’tren;;;;;;
Brün’thag’vul;;;;;;
Var’kesh’drun;;;;;;
Mör’vak’thul;;;;;;
Kran’der’vask;;;;;;
Thrul’gorn’esh;;;;;;
Hesk’var’ton;;;;;;
Yl’grath’ven;;;;;;
Quor’vak’til;;;;;;
Zhar’mlok’ven;;;;;;
Brel’thun’gar;;;;;;
Brüünthel;;;;;;
Gröömskäl;;;;;;
Hüürgvlön;;;;;;
Vöörthüm;;;;;;
Näälgrüb;;;;;;
Krööntvääl;;;;;;
Flüüghnör;;;;;;
Skäärvülm;;;;;;
Prööglün;;;;;;
Träävsköll;;;;;;
Grümthäl;;;;;;
Blöödnür;;;;;;
Määrghül;;;;;;
Kläörvünn;;;;;;
Drüüsnäk;;;;;;
Vlööthrän;;;;;;
Snäävrökk;;;;;;
Bräähntvür;;;;;;
Krüülthön;;;;;;
Würmträäl;;;;;;
Näögdrüü;;;;;;
Plöötschkää;;;;;;
Häärrgvöl;;;;;;
Strüübnäth;;;;;;
Klööfdrämm;;;;;;
Gräävkrüll;;;;;;
Vüülnörg;;;;;;
Zöölthrään;;;;;;
Brüüsglön;;;;;;
Dräämflökk;;;;;;
